text,gt_policy_domain
"Teach Next will offer experienced professionals a new option, by providing specialised intensive training of around eight weeks duration that will enable them to quickly move into the classroom with appropriate support and start earning a wage",Welfare and Quality of Life
"This Manifesto is a practical and implementable programme, which will shape and define the EFF government.",Political System
"And members of Canada's cultural communities who expose these practices risk ostracism, or worse, as a result of coming forward.",Fabric of Society
We will look at basing Welsh army units in Wales in order to improve relationships with the local community and help soldiers’ families.,External Relations
We will help people to stand on their own two feet and give them the tools to make a success of their own lives.,Welfare and Quality of Life
This includes renegotiating an agreement to allow our softwood lumber exports to enter the United States market.,Economy
"We will give statutory force to the Commission for Racial Equality's Code of Practice in employment, and ensure that Britain plays a leading role in strengthening anti-discrimination legislation throughout the European Union.",Welfare and Quality of Life
We'll also set aside funding for research into the “invisible” economic and social damage inflicted upon victims of crime.,Welfare and Quality of Life
That's why we've worked so hard to keep those taxes down.,Political System
New Rent to Own homes where your monthly payments steadily buy you a stake in the property,Welfare and Quality of Life
"In 2020, debt will be falling as a share of our economy for the fourth year in a row, steadily rebuilding our national resilience against future economic shocks.",Economy
"At primary level we will encourage schools to have at least one science specialist among the staff,",Welfare and Quality of Life
The quality of their schooling now will make a difference to what they learn and whether they achieve their potential across the span of their working life,Welfare and Quality of Life
"To nurture public interest journalism and protect the public from press abuse, we are committed to a system of accountability that is totally independent of both government and the newspaper industry, as set out in the Royal Charter on Press Regulation.",Freedom and Democracy
"We will create 50,000 jobs in Wales by giving more Welsh public sector contracts to companies working in Wales,",Economy
and promoting peaceful dialogue between Iran and Saudi Arabia.,External Relations
We will make the Parliamentary Budget Officer truly independent.,Freedom and Democracy
"tidal power,",Economy
We will make it more affordable for more Canadians to visit and appreciate our National Parks.,Welfare and Quality of Life
"If re-elected, we'll build on these efforts by rebuilding and expanding Royal Canadian Navy reserve division base HMCS Discovery in Vancouver, positioning it to become a major Maritime joint operations centre for the Royal Canadian Navy and the Canadian Coast Guard.",External Relations
"The Commission will also prioritize working with groups who, for a number of reasons, experience mental illness at a higher level than the rest of the country, including veterans and members of Canada's First Nations.",Welfare and Quality of Life
Britain's security and national interests are best pursued in partnership with its European neighbours.,External Relations
That creates an uneven playing field.,Freedom and Democracy
"We will replace time consuming local pay bargaining with a new national pay structure and a single NHS-wide Pay Review Body that covers all pay, from the cleaner to the chief executive.",Economy
"The Manifesto draws its inspiration from the historic Founding Conference of the EFF, the National Assembly on what is to be done in Soweto, which mandated revolutionary Activists, Fighters, Commissars and Organisers to fight the struggle for economic freedom in our lifetime.",Economy
"We will restore trust in our democracy, and that begins with trusting Canadians.",Freedom and Democracy
Veterans have given years of their lives in service to Canada.,Welfare and Quality of Life
"Along with a new focus on the intersection of drug abuse and mental health, a re-elected Conservative Government will set out other priorities for the Commission.",Welfare and Quality of Life
We will review current gender- and culturally-sensitive training policies for federal front-line law enforcement officers to ensure that they are strong and effective.,Fabric of Society
We will improve health education and promote healthy living.,Welfare and Quality of Life
"We will invest in our cultural and creative industries to create jobs and grow the middle class, and to strengthen our rich Canadian identity.",Welfare and Quality of Life
"Aim to add over 700,000 new homeowners by 2020",Social Groups
"We'll also establish an expert panel to study the potential scope of the Adult Fitness Tax Credit, to support Canadians of all ages in making healthy and active choices.",Welfare and Quality of Life
"MP John Weston of British Columbia has introduced a Private Member's Bill that makes it a criminal offence to abandon a boat, subject to jail time and fines of up to $100,000.",Fabric of Society
Drive up recycling to 70% of household waste and minimise landfill,Welfare and Quality of Life
We must make sure green industries can reach their full potential and build on successes in increasing recycling to shift towards a so-called ‘circular economy’ in which we use natural resources efficiently and minimise waste. (See also Section 6.2),Welfare and Quality of Life
"For most Canadians, balancing work and family life is a daily challenge.",Welfare and Quality of Life
Conduct a full Bilateral and Multilateral Aid Review to ensure that the Department for International Development continues to work in the right places and through the right channels.,External Relations
"A thriving rural community needs local services and community facilities like schools, public transport, local shops, cultural venues and pubs.",Welfare and Quality of Life
and will work to ensure organisations work together in a transparent manner with clear democratic accountability.,Freedom and Democracy
"We are concerned that it puts too much power into the hands of international corporations,",External Relations
This is a generational challenge that will take time and patience.,External Relations
Ensure 3% of GDP is invested in Research & Development.,Economy
We support a moratorium on fracking and other forms of unconventional gas.,Welfare and Quality of Life
"5) Massive protected industrial development to create millions of sustainable jobs,",Social Groups
"Our resources will not be exploited by overseas interests,",Fabric of Society
"Many of these new Canadians maintain close ties with the lands of their birth, socially, culturally, and economically.",Fabric of Society
"For freedom to be meaningful, people need the power not just to make decisions about their own lives, but about the way their country, their community, their workplace and more are run.",Freedom and Democracy
"In 2010, Liberal Democrats insisted the coalition adopt a fairer approach to dealing with the deficit, using both spending cuts and tax rises, than the Conservatives had planned.",Welfare and Quality of Life
"The availability of this deeply personal data, combined with a similar revolution in our ability to store, analyse and use it, rightly gives many Canadians reason for concern regarding its security, and the potential for abuse.",Freedom and Democracy
and will never accept the Russian occupation of Ukrainian soil.,External Relations
"Currently Canada's Tentative List for World Heritage Sites, which is an inventory of candidate sites to be considered for designation by the World Heritage Committee, only has seven potential sites on it and has not been updated in over a decade.",Fabric of Society
"The Irish language is an important cultural resource for the people of Ireland, but it is a vulnerable and damaged resource which needs to be protected.",Fabric of Society
"and ensure that a “one veteran, one standard” approach is upheld.",Welfare and Quality of Life
"We will provide long-term sustainable funding for the Coleg Cymraeg Cenedlaethol, ensuring greater availability of higher education in Welsh, subject to successful evaluation.",Fabric of Society
"Maintain our commitment to spend 0.7% of UK Gross National Income on overseas development, which the International Development Act 2015, introduced by a Liberal Democrat, now enshrines in law.",External Relations
"Canada is uniquely blessed with an abundance of freshwater, and marine and coastal areas that are not only ecologically diverse, but also economically significant: our ocean-based industries contribute nearly $40 billion each year to the Canadian economy.",Welfare and Quality of Life
expanding Shared Parental Leave with an additional ‘use it or lose it’ month to encourage fathers to take time off with young children.,Welfare and Quality of Life
Enable Local Authorities to operate licensing schemes for rental properties in areas where they believe it is needed.,Economy
"These values have made Canada great,",Fabric of Society
We will give families more money to help with the high cost of raising their kids.,Welfare and Quality of Life
"The defence and security of our nation, its people and their interests is the first priority of government",External Relations
Progress key city cycle routes such as the Sutton to Sandycove cycle track in Dublin and an Oranmore to Barna track in Galway.,Welfare and Quality of Life
"Increasing family reunification by 10%,",Welfare and Quality of Life
"We will: Design out opportunities for crime, by improving the built environment,",Fabric of Society
We know that there's more to our communities and our country than government and so we're helping Canadians give back to their communities and support one another.,Fabric of Society
"and climate change preparedness, both of which are important to the quality of life for northern Canadians.",Welfare and Quality of Life
"training in basic skills,",Welfare and Quality of Life
No one can make the most of their lives if their basic freedoms are violated.,Freedom and Democracy
Liberal Democrats ensured the package of powers reflects Scotland’s key priorities.,Political System
"This will take new leadership, a new approach and a renewed sense of national confidence.",Political System
and to get the best investment from the European Union’s Horizon 2020 funding.,External Relations
Canadians are proud of our democracy and our democratic institutions.,Freedom and Democracy
Our approach also includes a targeted Strategic Reform Program that will deliver efficiencies in the way Defence carries out its roles,External Relations
Any changes must balance the objectives of more local autonomy and fair equalisation between communities.,Freedom and Democracy
Keeping Canada's public finances on a solid footing involves hard work and tough choices.,Political System
We will strengthen the role of the Groceries Adjudicator to better protect farmers and those involved in the supply chain to ensure they get a fair deal.,Social Groups
We will cut VAT on energy conservation materials to 8 per cent - the same as for energy supplies.,Economy
"The most efficient way to do this is to transport it in liquefied form, which means establishing facilities to process our natural gas for shipping.",Economy
"We will create a Welsh Migration Service to ensure that migration meets Welsh needs and introduce a skills shortage list of trades and skills which are not currently being met by Welsh workers and seek to attract internationals with those skills, including in the health service and in technology.",Fabric of Society
"It is vital that our real security and defence needs and international obligations are considered in the SDSR, and this is why we wish to move towards a Single Security Budget.",External Relations
and one estimate predicts that Canada will need one million more skilled workers by 2020.,Economy
This will result in a stable funding platform for the Scottish Parliament to invest in children and young people.,Political System
And we are.,External Relations
"Further Education Colleges play an important role in providing education and training for young people aged 16 years and over,",Welfare and Quality of Life
Tackle disability hate crime by ensuring proper monitoring of incidents by police forces and other public authorities.,Fabric of Society
"We need to protect Canadians here by making sure the “foreign fighters” who travel to parts of the world where terrorists hold sway are not allowed, on their return to Canada, to act on the warped ideologies and deadly skills they've learned.",Fabric of Society
Foster child grant: Increase from R800 to R1600 per month;,Welfare and Quality of Life
A state food-stocking company (to regulate prices of basic foodstuffs and guarantee food security for all);,Economy
"It poses an obvious danger to law-abiding Canadians, but the damage is even further-reaching.",Fabric of Society
"Everyone has the right to acquire his own home, without financial hardship.",Economy
"It is our firm belief and conviction that economic freedom will be attained through implementation of 7 cardinal pillars, which are: 1) Expropriation of South Africa’s land without compensation for equal redistribution in and use.",Economy
"The number of healthcare practitioners, particularly doctors is very low relative to the population size of South Africa.",Welfare and Quality of Life
Care dependency grant: Increase from to R1200 to R2400 per month;,Welfare and Quality of Life
Reinstate greater resources for the Office for Social Inclusion.,Welfare and Quality of Life
"And criminals, hackers and terrorists now operate across borders, too.",External Relations
"A re-elected Conservative Government will double funding for Child Advocacy Centres and Child and Youth Advocacy Centres,",Welfare and Quality of Life
"We will provide improved aftercare and wellbeing for military personnel after leaving the forces, including legal advice, healthcare and counselling support by reinforcing the Military Covenant through a Military Well-Being Act.",External Relations
enabling a surge to armed patrols when the international security context makes this appropriate.,External Relations
"Sinn Fein can only be admitted to this process if, in accordance with the Mitchell principles, they and the IRA turn their backs on terrorism.",Fabric of Society
"and there will be a greater use of referenda on important issues,",Freedom and Democracy
"Plaid Cymru’s ‘Build 4 Wales’ infrastructure programme will be used to further assist local authorities or registered social landlords to build new houses across Wales, based on local need.",Welfare and Quality of Life
and press for higher environmental standards for export credit agencies throughout the OECD.,Economy
Small businesses will be exempt.,Economy
"It's the main business for 150 communities in rural and northern Canada,",Economy
"Families are the bedrock of our communities, and, by extension, our country.",Fabric of Society
"We will promote an environmental equivalent of the Geneva Convention, to outlaw gross acts of environmental destruction in times of war",External Relations
and will modernize the rules governing the charitable and not-for-profit sectors.,Freedom and Democracy
"Beyond Parliament, there is much to change to improve the way communities in England are governed.",Political System
You've been hearing a lot of talk about infrastructure spending lately – but it's a conversation our Conservative Government has been leading for years.,Economy
Plaid Cymru has consistently opposed the privatisation of the probation service.,Economy
"We have made huge advances in this Parliament, increasing standards for newly built homes, and improving more than a million homes in just two years.",Welfare and Quality of Life
"Increased penalties for waste crimes, aiming to move from an average fine of £50,000 to £75,000 and to an average sentence of 12 to 18 months.",Welfare and Quality of Life
"Enact new migratory bird regulations to establish a family hunting permit and remove other unnecessary barriers and irritants to hunters, in time for the 2017 hunting season.",Political System
"As the Charlie Hebdo attacks in Paris showed, freedom of expression cannot be taken for granted.",Freedom and Democracy
We will take action to get handguns and assault weapons off our streets.,Fabric of Society
"Under Stephen Harper, funding for these teams has been eliminated, putting our national response capabilities in jeopardy.",Political System
"We will take nearly 500,000 low earners out of income tax altogether by raising tax thresholds.",Economy
"cost families money,",Political System
We have clamped down on unscrupulous payday lenders and strengthened protections for vulnerable consumers against rogue traders.,Economy
"Bringing in the Protecting Canadians from Online Crime Act to protect Canadians, and in particular youth, from online exploitation and cyberbullying.",Fabric of Society
"and  be more inclusive – for example, those caring for a seriously ill adult family member who needs care beyond what can be provided during evenings and weekends, or those caring for a seriously ill child who cannot attend school for an extended period of time, will no longer be excluded from the benefit.",Welfare and Quality of Life
But jail time for the perpetrator doesn't make the victims financially whole again.,Fabric of Society
"Unfortunately, most Canadians have seen someone they love be forced to confront this terrible disease.",Welfare and Quality of Life
to nuclear disarmament,External Relations
"This will include working with Canada's banks to ensure low-cost access to transfer services,",Economy
A balanced budget is the anchor of our low-tax plan to protect our fragile economy and help Canadian families.,Economy
"Deliver the £8 billion England’s NHS leaders say is needed to keep it strong,",Welfare and Quality of Life
and repeal the rule that all new state funded schools must be free schools or academies.,Welfare and Quality of Life
COPE has identified the eradication of poverty,Economy
"Plaid Cymru will work towards a paperless NHS that will save money and bureaucracy so that, within confidentiality rules, appropriate healthcare professionals can access records wherever in Wales you are being treated.",Political System
"Our first fiscal rule is that, from 2017/18, debt must fall as a proportion of our national income every year – except during a recession – so it reaches sustainable levels around the middle of the next decade.",Economy
- Improve access.,Social Groups
"breaking of racial, gender and class divisions",Welfare and Quality of Life
"resilient to the threats of climate change,",Welfare and Quality of Life
"To help families care for their loved ones at home, we will make the Employment Insurance Compassionate Care Benefit more flexible and easier to access, so that it provides help for more than just end-of-life care.",Welfare and Quality of Life
"Liberal Democrats have worked tirelessly in government to keep Britain at the heart of the European Union, to secure the best deal for British citizens.",External Relations
We will also act on the recommendations of the Cohen Commission on restoring sockeye salmon stocks in the Fraser River.,Welfare and Quality of Life
And there's more we can do to help aspiring homeowners buy and invest in their homes.,Social Groups
When we make significant changes in our tax and spending priorities we will tell people where the money has come from.,Political System
"Canada's economic success comes from its strong communities, and the exceptional people who live, work, and serve in them every day.",Fabric of Society
Or run up debt.,Political System
- Strengthen the network of rural sub-post offices and village shops.,Economy
"Tax reforms include reduction in income taxes instead of wage increases,",Economy
"5) The EFF Government will establish State Administration Courts to promptly respond to incidents of corruption and maladministration with the aim of firing and blacklisting corruption state employees and private companies, and recover money lost to corruption.",Political System
"We will maintain the NHS as a comprehensive service, free at the point of need and funded primarily from general taxation.",Welfare and Quality of Life
- Enable citizens to play a part in setting health policies in their area.,Welfare and Quality of Life
- End the scandal of people being forced to sleep rough on the streets.,Welfare and Quality of Life
6) The EFF Government will ensure that the public transport system is accessible to people with disabilities.,Social Groups
and corruption.,Political System
"We will develop a ports and freight strategy for Wales, using European funding to improve infrastructure.",Economy
"lead to tax hikes and program cuts,",Political System
"In many cases it will save patients the time and expense of travelling long distances to see medical specialists, and will help them to see the right specialist sooner",Welfare and Quality of Life
"The British-Irish Council should develop further to improve relationships and co-operation between the countries of these islands, regardless of their constitutional status, with a roving EU-type presidency between them and formal structures for better co-operation on shared assets and developing the Common Travel Area.",External Relations
"There are currently 1,860 veterans receiving this benefit.",Welfare and Quality of Life
and provide a right to appeal refugee decisions for citizens from these countries;,Freedom and Democracy
"We oppose illegal occupation and oppression,",Freedom and Democracy
Those holding current mortgages will retain Mortgage Interest Tax Relief.,Economy
and more crime free communities.,Fabric of Society
We will provide better oversight of taxpayer dollars.,Freedom and Democracy
become the dominant funder of public hospitals - funding 60 per cent of the nationally efficient price of public hospital services for public patients,Welfare and Quality of Life
"and leave to our children and grandchildren a country even more beautiful, more sustainable, and more prosperous than the one we have now.",Economy
"A new Feed Out Tariff for investment in solid wall insulation, the most expensive and difficult energy saving investment for some homes.",Welfare and Quality of Life
to develop a system of regulated companies to hire caregivers on behalf of families.,Economy
A key aspect of this is dealing with the legacy of the past.,External Relations
These are commitments which will inspire the entire African continent and nations across the world to pursue and implement real economic emancipation.,Economy
"What they need is a federal partner willing to invest to help build stronger, more resilient communities.",Welfare and Quality of Life
"This should be followed by scrapping the criminal record statuses of ex-convicts who were convicted of certain schedules of crime, depending on the seriousness of the crimes committed.",Fabric of Society
and to reduce salt in processed foods;,Economy
We will restore Canadian leadership in the world.,External Relations
"But if, in the judgment of the Press Recognition Panel, after 12 months of operation, there is significant non-cooperation by newspaper publishers, then – as Leveson himself concluded –Parliament will need to act, drawing on a range of options including the legislative steps necessary to ensure that independent self-regulation is delivered.",Freedom and Democracy
the asset-reporting procedures for elected representatives and Members of the Executive are strengthened;,Freedom and Democracy
and investment in green industries,Welfare and Quality of Life
"Bring forward a package of measures to protect bees and other pollinators, including legal protection for bumblebee nests.",Welfare and Quality of Life
Step down the nuclear ladder by procuring fewer Vanguard successor submarines,External Relations
The so-called security wall built by the Israeli government must be removed,External Relations
"In the next Parliament we will go further, ensuring at least four million homes are improved by 2020,",Welfare and Quality of Life
We will invest an additional £500 million over 5 years in repairing crumbling and unsafe buildings.,Welfare and Quality of Life
"1) As concrete steps forward, which the state will initiate, establish and give strategic and financial support to, are the following: A state housing-construction company;",Economy
Work with Iarnrod Éireann to focus more management attention on rural railway lines.,Economy
We will work with the private sector to link all schools to the Information Super Highway and ensure that they have the equipment and skills to take advantage of this.,Economy
Abandoning efforts to open up new markets for Canadian products.,Political System
The EFF’s approach to this the political struggle is concurrent radical pursuit of sustainable industrial economic development,Economy
"Continue to support Canada's universal, publicly-funded health care system",Welfare and Quality of Life
Disability grant: Increase from R1200 to R2400 per month;,Welfare and Quality of Life
Our aim: To recast Britain's foreign policy and enable this country to play a leading role in shaping Europe and strengthening international institutions.,External Relations
"Using incentives and collective-agreement contracts Social Credit will foster mutual employer-worker shareholding and profit-sharing,",Social Groups
and providing advice about workplace adaptation.,Welfare and Quality of Life
Raise the professional status and training of care home managers through statutory licensing.,Welfare and Quality of Life
We will embrace open data.,Freedom and Democracy
We will fully fund the implementation of the Code of Practice for Special Educational Needs.,Welfare and Quality of Life
This investment will help people who live outside capital cities get the health care they need,Welfare and Quality of Life
"We will combine the existing regulators into a single Office of Utility Regulation, reporting to a Cabinet Minister responsible for consumer affairs.",Economy
An unelected Senate is simply not acceptable in a modern democracy.,Freedom and Democracy
Diversity is a source of strength.,Welfare and Quality of Life
We will introduce a Prime Minister's Question Period to improve that level of direct accountability.,Freedom and Democracy
introduce direct payments.,Social Groups
The tax system will be fairer:,Welfare and Quality of Life
Legalize marijuana and prostitution and the criminal underground that they fuel.,Political System
"Work closely with faith and community organisations, such as the Community Security Trust (which works to protect the Jewish community against antisemitic attacks) and the Muslim Council of Britain, to prevent hate crime,",Fabric of Society
We will recruit and train more professional staff.,Welfare and Quality of Life
This is a significant achievement; 110 years after Federation Australia finally has a national curriculum,Welfare and Quality of Life
Government and its information should be open by default.,Freedom and Democracy
"We believe all people – regardless of ethnicity, disability, age, belief, gender or sexual orientation – deserve a freer, fairer and more prosperous world.",Freedom and Democracy
"We also believe that government should focus its efforts on the priorities of Canadians, not on more rounds of constitutional negotiations.",Freedom and Democracy
protect our democracy and to promote the rule of law.,Freedom and Democracy
"We want to see an elected House of Lords,",Freedom and Democracy
"The result is that our streets are safer, our children are better protected, and victims are where they belong – at the center of our criminal justice system.",Fabric of Society
We will encourage independent schools to work with state schools.,Welfare and Quality of Life
Animal welfare is of great concern to the Green Party and we will continue to build on our significant work to date as part of the next government by undertaking the following measures:,Welfare and Quality of Life
A re-elected Conservative Government will issue a new Canadian Veteran Card to all Canadian Armed Forces members who complete basic training.,Political System
- Introduce a fair system of voting.,Freedom and Democracy
"Indirectly, it employs many millions more.",Economy
Plaid Cymru will prepare for the further devolution of welfare by developing a Welsh employment and benefits system that supports individuals to find suitable jobs.,Welfare and Quality of Life
Our natural scenic beauty will be conserved as a national asset for the enjoyment of future generations.,Welfare and Quality of Life
There is no excuse for continued global inequality and injustice.,Freedom and Democracy
We will reform public finance and investment to make it easier to invest in creating more sustainable communities.,Fabric of Society
"Teachers and early childhood educators work hard to provide a positive learning environment for our children, often paying out-of-pocket for classroom supplies.",Welfare and Quality of Life
Liberal Democrats have ensured that no undergraduate student in England has to pay a penny up front of their tuition fees.,Welfare and Quality of Life
"While changes to parental leave should be introduced slowly to give business time to adjust, our ambition is to see Paternity and Shared Parental Leave become a ‘day one’ right.",Welfare and Quality of Life
"This initiative will create a digital platform, linked to the national curriculum and national assessment programs, to provide those assessments for students, parents and teachers",Welfare and Quality of Life
"We will: Strengthen the Hospitality and Tourism Council, with the Business and Culture Secretaries as co-chairs.",Economy
"Encourage the uptake of water metering, including introducing metering in all defined water-stressed areas by 2025,",Welfare and Quality of Life
Social Credit will encourage the Credit Union movement and similar co-operative savings groups.,Economy
- Enable people to choose when to start drawing a pension.,Freedom and Democracy
Address IT deficiencies in Garda Stations across the country.,Fabric of Society
"working towards the publication of business-by-business data for crimes committed on commercial premises,",Fabric of Society
As do decent public services and a more secure society.,Welfare and Quality of Life
"and  • bring light rail transit to Surrey, one of the fastest growing parts of the region.",Economy
And we've kept taxes low.,Economy
- Ensure responsible economic management.,Economy
The resources used policing the illegality of cannabis should be diverted into education and information programmes which aim to keep people safe from harm.,Welfare and Quality of Life
The Green Party believes that tourism remains one of our most important sources of local employment and wealth creation.,Economy
Update planning law to introduce the concept of ‘landscape scale planning’,Economy
"study leave,",Welfare and Quality of Life
and our country will be open to ambitious entrepreneurs and thinkers from overseas.,Economy
"A Gillard Labor Government will establish Teach Next– to tap into the knowledge of highly skilled and qualified professionals in areas such as maths and science, so they can share their expertise and passion with Australian students",Welfare and Quality of Life
"Require the Canadian International Trade Tribunal to carry out an automatic five-year review of every finding of non-compliance, to ensure the conflict has been resolved in a satisfactory manner.",Economy
1) Women have suffered most from the neo-liberal reality of the past 20 years.,Social Groups
Key components of this socialist programme are contained in our Election Manifesto.,Economy
"Government data and information should be open by default, in formats that are modern and easy to use.",Freedom and Democracy
"In this regard, at the top of our agenda is also the creation of decent jobs in recognition of the fact that: employment, is the principal route for our people out of poverty;",Social Groups
we are taking strong action against terrorism at home.,Fabric of Society
A COPE government will establish a systematic relationship between established and emerging commercial farmers to ensure even more productive use of the land;,Social Groups
Deliver the money needed for England’s NHS by: Continuing real-terms protection of the NHS budget,Welfare and Quality of Life
"We support establishing a new Welsh language multimedia service to operate online, on radio and other platforms, in order to reflect the needs of Welsh language audiences and improve current affairs coverage in Wales.",Welfare and Quality of Life
A re-elected Conservative Government will build on this record by funding further research into how palliative care is best provided to Canadians.,Welfare and Quality of Life
We must take measures to ensure that ‘white collar’ or corporate crime is treated by the authorities with the same efficiency and stringency as any other type of crime.,Fabric of Society
"To protect Canada's economy, a re-elected Conservative Government will:   Ensure the federal budget remains balanced",Economy
"investigate modern equipment,",Economy
- Boost regional and local economies.,Economy
and a bold new Industrial Strategy to support growth and high-skilled jobs;,Economy
"poverty,",Economy
"Departments will be directed to maintain a register of the directors of state boards under their remit, and will include dates of appointment and expected retirement dates and vacancies.",Political System
"We will support teachers in maintaining discipline and provide them with the means to do so - for example, by providing better access to special referral units.",Fabric of Society
"The people of Ukraine have left no room for doubt: The future they desire lies to the West, with all the freedoms, opportunities and prosperity that brings.",External Relations
"Our museums great and small, and the modern-day explorers still uncovering the secrets of our past, must have our continued support – as must the Canadian communities from coast to coast to coast planning to celebrate our history as we approach the 150th anniversary of Confederation.",Fabric of Society
Introduce incentives to help everyone invest in energy efficiency:,Welfare and Quality of Life
Encourage health services to link up with Local Authority social care teams and voluntary services to join up care.,Welfare and Quality of Life
We will value science and treat scientists with respect.,Freedom and Democracy
"Canada's Armed Forces have been central to the story of our country for more than 200 years – central to our national identity, central to our success as a country, central at times to our very survival.",External Relations
Partnering with Canada's outdoors community to conserve our country's unique natural environment.,Welfare and Quality of Life
"As part of this agenda, our Government has always made a priority of supporting apprenticeships and Canadians working in the skilled trades.",Economy
We've hired trade commissioners dedicated to agriculture issues.,Social Groups
"The Liberal Democrat objective is to eradicate the structural current budget deficit by 2017/18 and have debt falling as a percentage of national income, so it is back to sustainable levels by the middle of the next decade.",Economy
There is nothing more important in managing the Australian economy than to ensure that every Australian has the opportunity to work,Social Groups
"We will support tighter EU-wide restrictions on transfers of military technology to non-democratic regimes and press for the establishment of a mandatory UN register, in which all arms sales and transfers must be listed.",External Relations
Shutting down in part or in whole Tax-Free Savings Accounts which are helping 11 million Canadians save and grow their savings tax-free.,Political System
Plaid Cymru has made the case for Bank of England recognition of the Welsh economy when formulating monetary policy.,Political System
"We will require Councils to take the lead in establishing cross-community partnerships against crime, setting specific targets for crime prevention.",Fabric of Society
A re-elected Conservative Government will enter into a defence co-operation agreement with Ukraine.,External Relations
Establish a statutory waste recycling target of 70% in England.,Economy
Drafted the Noise Nuisance Bill.,Welfare and Quality of Life
"We will: Maintain free access to national museums and galleries,",Welfare and Quality of Life
We will: Conduct a Strategic Defence and Security Review in which we will revisit and update the Future Force 2020 vision and ensure the capabilities we are invested in are relevant for keeping Britain safe.,External Relations
It provides almost 800 million new customers throughout the Asia-Pacific region for Canadian goods and services.,Economy
"We will prevent any perceived ‘right to claim’ by tightening benefit rules for EU migrants, including reducing, and ultimately abolishing, payment of Child Benefit to children who are not resident in the UK.",Welfare and Quality of Life
"marine conservation,",Welfare and Quality of Life
$56.8 million to provide GPs and specialists with financial incentives to participate in delivering online services,Welfare and Quality of Life
Ireland needs to play a stronger role in the detection and elimination of human trafficking.,Fabric of Society
Our Conservative Government has an ambitious plan to celebrate Canada 150.,Fabric of Society
our public finances will be healthy again,Economy
"The Great Lakes and the St. Lawrence River aren't just iconic in terms of geography – they're defining elements of our history, and part of the reason for Canada's growth into a great trading nation.",Fabric of Society
We will take action to reduce the use of chemicals in farming.,Welfare and Quality of Life
"restore lost protections,",Welfare and Quality of Life
"We've proposed legislation that will require operators of vital cyber systems to implement robust cybersecurity plans that meet established standards,",Fabric of Society
"Our Government has invested over $13 billion in science, technology and innovation since 2006.",Economy
"We will give communities stronger powers to protect their local assets, including land and buildings.",Fabric of Society
Implementing Canada Apprentice Loans to help aspiring tradespeople get the training they need.,Economy
We wish to see more people making provision for their old age.,Economy
- Invest in research and innovation.,Economy
not international neoliberal economic corporations who have no responsibility to people.,External Relations
"We will, over time, extend tax relief on workplace nurseries to other forms of day nursery care.",Economy
"put in place a vigorous programme to encourage the employment of skilled workers, graduates and professionals, including empowering them to start their own enterprises;",Economy
and protecting the wide range of family support services offered in Children’s Centres.,Welfare and Quality of Life
"Indeed, it was because ISIS met with little resistance at first that it was able to establish its so-called caliphate with such alarming speed.",External Relations
Our focus is on trying to prevent crime from happening in the first place.,Fabric of Society
"During our time in Government, we oversaw the generation of 15% of our electricity from renewable sources in 2010 and put Ireland on track to meet our 40% target by 2020.",Economy
"Develop a clear approach on preventing mental illness, with a public health campaign promoting the steps people can take to improve their own mental resilience – the wellbeing equivalent of the ‘Five a Day’ campaign.",Welfare and Quality of Life
"Our Government in 2014 passed Vanessa's Law, named after the daughter of Member of Parliament Terence Young.",Economy
"We will undertake, in full partnership and consultation with First Nations, Inuit, and the Métis Nation, a full review of laws, policies, and operational practices.",Political System
but will allow schools themselves to determine how to achieve those outcomes.,Welfare and Quality of Life
"Meanwhile, the development of hundreds of potential mining projects in this great, vast country – such as the Ring of Fire in Northern Ontario and Plan Nord in Quebec – is challenged by the high cost of working far from transportation routes and supply centres.",Economy
"Policies include increasing the police force,",Fabric of Society
and have led the way in protecting journalists’ sources under the 2000 Regulation of Investigatory Powers Act (RIPA).,Freedom and Democracy
and infrastructure to protect against changing weather.,Welfare and Quality of Life
For people to live fulfilled lives they need a decent home at a cost they can afford.,Welfare and Quality of Life
"About 3,000 children are adopted in Canada every year but, at any given time, there are about 30,000 children within this country alone in need of stable homes filled with love,",Social Groups
and would also link political funding to a requirement for 40% of a party’s candidates being from both genders at local and European elections.,Social Groups
"As an open, trading economy Ireland has long relied on growing exports to grow its economy.",Economy
"Extend the use of Rent Repayment Orders to allow tenants to have their rent refunded when a property is found to contain serious risks to health,",Economy
or hospitals having GP surgeries within A&E departments.,Welfare and Quality of Life
"Low- and middle-income Canadians have have benefited significantly – about half of TFSA holders earned less than $42,000.",Social Groups
We will refocus the Vacant Building Credit so it only applies to properties that have been vacant for an extended period.,Economy
2) The EFF Government will specifically discontinue private ownership of companies such as SASOL and Arcelor-Mittal Steel and provide them with concrete developmental mandates to contribute to the rapid sustainable industrial development of South Africa.,Economy
"We will continue to work across the British Isles and Europe to prevent the spread of invasive alien species, both flora and fauna, including creating early threat warnings.",Economy
"For too many Canadians, rising costs have made post-secondary education increasingly out of reach.",Welfare and Quality of Life
"Britain's interests have been damaged by an attitude to Europe that has been, at best, ambivalent and, at worst, hostile.",External Relations
Plaid Cymru has consistently opposed the removal of crucial life saving services from local hospitals due to staff shortages.,Welfare and Quality of Life
Our commitment: Liberal Democrats will make education the next government's top priority.,Welfare and Quality of Life
"We will refocus Canada's military contribution in the region on the training of local forces,",External Relations
The legislation would include a sunset clause for the ending of gender candidate quotas,Freedom and Democracy
